"hh_id","part_id","part_gender","part_occupation","part_occupation_detail","part_education","part_education_length","participant_school_year","participant_nationality","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","sday_id","type","day","month","year","dayofweek","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","country","hh_size","part_age_exact"
"Mo08HH4467",4467,"F",5,NA,NA,NA,11,"PL","",NA,NA,"","N",1,NA,NA,NA,20060329,2,29,3,2006,3,49,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"Poland",3,17
"Mo08HH4468",4468,"M",5,NA,NA,NA,9,"PL","",NA,NA,"","N",2,2,NA,NA,20060330,2,30,3,2006,4,18,40,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,"Poland",4,15
"Mo08HH4469",4469,"F",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,2,NA,NA,20060328,2,28,3,2006,2,16,41,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Poland",4,14
"Mo08HH447",447,"F",NA,NA,6,18,NA,"IT","",NA,NA,"","N",2,1,NA,NA,20060527,1,27,5,2006,6,8,11,44,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",5,45
"Mo08HH4470",4470,"F",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,2,NA,NA,20060328,2,28,3,2006,5,42,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"Poland",3,14
"Mo08HH4471",4471,"M",5,NA,NA,NA,8,"PL","",NA,NA,"","N",2,3,NA,NA,20060328,2,28,3,2006,2,17,41,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"Poland",4,14
"Mo08HH4472",4472,"F",5,NA,NA,NA,11,"PL","",NA,NA,"","N",2,1,NA,NA,20060329,2,29,3,2006,3,43,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Poland",3,17
"Mo08HH4473",4473,"M",5,NA,NA,NA,10,"PL","",NA,NA,"","N",2,1,NA,NA,20060331,2,31,3,2006,5,70,40,69,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,"Poland",5,16
"Mo08HH4474",4474,"M",5,NA,NA,NA,10,"PL","",NA,NA,"","N",1,1,NA,NA,20060327,2,27,3,2006,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"Poland",2,16
"Mo08HH4475",4475,"M",5,NA,NA,NA,5,"PL","",NA,NA,"","N",1,1,NA,NA,20060329,2,29,3,2006,3,32,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,"Poland",3,11
